JLA_name,OSC_name,Aliases,Host,OSC_RA,OSC_DEC,Host_RA,Host_DEC,global_u,global_g,global_r,global_i,global_z,global_u_err,global_g_err,global_r_err,global_i_err,global_z_err,SDSS_RA,SDSS_DEC,Flag,ZPEG_StMass,ZPEG_(Msol/an),ZPEG_Chi2/(nobs_tot-3),ZPEG_redshift,ZPEG_Age(Myr),Unnamed: 0,zcmb,zhel,dz,mb,dmb,x1,dx1,color,dcolor,3rdvar,d3rdvar,tmax,dtmax,cov_m_s,cov_m_c,cov_s_c,set,ra,dec,biascor
03D3cd,SN2003fi,"SN2003fi, SNLS-03D3cd",A141839+5236,"14:18:39.927,14:18:39.96,14:18:39.960,14:18:39.968","+52:36:43.48,+52:36:43.480,+52:36:44.1,+52:36:44.10,+52:36:44.19","14:18:39,14:18:39.00","+52:36:44,+52:36:44.0",23.56464,22.26158,21.47274,21.23348,20.76932,1.090653,0.1873016,0.1344824,0.1612431,0.3756386,214.6660187,52.61249789,OSC SN,1.17E+09,0.04579248,0.18,0.1,11000.0,185.0,0.461274,0.4607,0.0,22.575127,0.095948,1.861682,0.565093,-0.043023,0.038208,9.339,0.152,52801.729007,0.226325,0.021901,0.001309,0.010876,1.0,214.666364,52.612079,0.001514
04D1dc,SNLS-04D1dc,"SNLS-04D1dc, 2MASS J02261840-0418425",[NSB2006] J022618.47-041843.2,"02:26:18.40,02:26:18.464,02:26:18.477","-04:18:42.5,-04:18:43.090,-04:18:43.28",26:18.5,-04:18:43.2,22.10612,20.09623,18.78917,18.22588,17.93669,0.3917817,0.02708326,0.01471034,0.01287285,0.0365732,36.57672782,-4.3117911,OSC Host,2.14E+11,0.0,4.53,0.3,7000.0,307.0,0.210032,0.211,0.0,21.056779,0.085765,-1.236256,0.061648,-0.002674,0.025159,10.635,0.0415,53230.680282,0.159906,-0.000108,0.000598,-0.000205,1.0,36.576935,-4.311968,-0.000962
04D1jg,SNLS-04D1jg,SNLS-04D1jg,[NSB2006] J022612.56-040805.3,"02:26:12.557,02:26:12.567","-04:08:05.28,-04:08:05.280,-04:08:05.34",26:12.6,-04:08:05.3,26.53709,21.84233,20.21473,19.42033,18.88236,0.9542468,0.1406905,0.05234044,0.03549246,0.1013802,36.55273279,-4.135367148,OSC Host,3.71E+11,0.0,9.2,0.5,8000.0,308.0,0.582932,0.5842,0.0,23.273246,0.09012,0.265156,0.158945,-0.104618,0.033952,11.338,0.1505,53273.566497,0.212852,0.001492,0.000369,0.000478,1.0,36.552319,-4.1348,0.000793
04D1kj,SNLS-04D1kj,SNLS-04D1kj,[NSB2006] J022752.66-041049.2,"02:27:52.660,02:27:52.669","-04:10:48.91,-04:10:48.910,-04:10:49.29",27:52.7,-04:10:49.2,22.16556,21.76477,21.20569,20.80107,20.08423,0.367151,0.08460866,0.07596452,0.07994837,0.1588389,36.96958319,-4.180180398,OSC Host,2.78E+11,69.834831,2.07,1.0,5000.0,300.0,0.583743,0.585,0.0,23.335798,0.089495,0.218145,0.126028,-0.062764,0.029728,9.929,0.1075,53297.246286,0.166859,0.000804,0.00036,-2e-05,1.0,36.969417,-4.180252,0.000774
04D1oh,SNLS-04D1oh,SNLS-04D1oh,[NSB2006] J022502.37-041410.5,"02:25:02.362,02:25:02.372","-04:14:10.27,-04:14:10.270,-04:14:10.52",25:02.4,-04:14:10.5,21.88036,25.06383,25.26511,25.25984,21.57105,0.2253669,0.7509834,0.7925509,0.485483,0.4484403,36.26061448,-4.236246362,OSC Host,7.83E+08,0.65312009,10.5,1.0,3000.0,310.0,0.588721,0.59,0.0,23.396414,0.091211,-0.066782,0.20667,-0.068922,0.033246,9.17,0.1525,53308.2746,0.204309,0.003106,0.000397,0.000623,1.0,36.25984,-4.236187,0.000653
04D1pg,SNLS-04D1pg,SNLS-04D1pg,[NSB2006] J022704.16-041031.3,"02:27:04.159,02:27:04.162","-04:10:31.03,-04:10:31.030,-04:10:31.35",27:04.2,-04:10:31.3,25.16824,25.42682,21.75108,21.75046,20.56573,2.840789,1.418211,0.2275265,0.3306924,0.4742059,36.7674271,-4.17544172,OSC Host,2.84E+10,0.0,2.33,0.4,8000.0,302.0,0.513793,0.515,0.0,23.572554,0.090087,0.985964,0.196013,0.102976,0.035785,9.808,0.161,53326.88772,0.243145,0.002656,0.000695,0.001284,1.0,36.767329,-4.175287,0.001678
04D1rh,SNLS-04D1rh,SNLS-04D1rh,[NSB2006] J022747.16-041513.6,"02:27:47.148,02:27:47.160","-04:15:13.56,-04:15:13.560,-04:15:13.60",27:47.2,-04:15:13.6,24.25742,22.05921,21.67307,21.6915,21.33676,1.170739,0.07548912,0.08338143,0.1066043,0.329346,36.94721234,-4.254879279,OSC Host,2.82E+08,0.071156956,1.98,0.1,9000.0,301.0,0.434861,0.436,0.0,22.556493,0.087188,0.828369,0.210173,-0.057039,0.025846,9.888,0.132,53350.854462,0.259693,0.000738,0.00049,0.000144,1.0,36.946448,-4.253765,0.001224
04D1sa,SNLS-04D1sa,SNLS-04D1sa,[NSB2006] J022756.16-041034.3,"02:27:56.159,02:27:56.161","-04:10:33.85,-04:10:33.850,-04:10:34.31",27:56.2,-04:10:34.3,22.64481,22.6188,21.2563,20.3945,19.79961,0.7366577,0.2343626,0.1068682,0.07542992,0.1657711,36.98404195,-4.176308626,OSC Host,1.41E+11,0.0,0.874,0.6,5000.0,299.0,0.583743,0.585,0.0,23.564276,0.091595,-0.442871,0.288839,-0.066413,0.033662,10.623,0.064,53360.231262,0.322116,0.004025,0.000291,0.000418,1.0,36.983995,-4.176071,0.000774
04D2cf,SNLS-04D2cf,SNLS-04D2cf,[AGR2006] J100156.11+015246.4,"10:01:56.090,10:01:56.048,10:01:56.110","+01:52:46.12,+01:52:46.120,+01:52:45.90,+01:52:46.40",01:56.1,+01:52:46.4,22.58793,21.19302,19.9035,19.27626,19.24352,0.4565265,0.07333332,0.03571528,0.03387097,0.1333575,150.4832759,1.879841597,OSC Host,7.85E+10,0.0,3.02,0.3,7000.0,219.0,0.370586,0.369,0.0,22.462924,0.095747,-0.861569,0.218055,-0.014022,0.034607,10.809,0.1575,53075.840194,0.923642,-0.005152,0.001364,-0.002585,1.0,150.483707,1.879478,0.000174
04D2fp,SNLS-04D2fp,SNLS-04D2fp,[AGR2006] J095928.16+021915.5,"09:59:28.120,09:59:28.183,09:59:28.162","+02:19:15.65,+02:19:15.650,+02:19:15.20,+02:19:15.58",59:28.2,+02:19:15.5,22.35675,21.87318,20.62684,20.31094,20.132,0.3112999,0.1025355,0.05811812,0.06874362,0.245355,149.8672763,2.321379493,OSC Host,4.92E+10,4.5880487,2.75,0.4,8000.0,232.0,0.416632,0.415,0.0,22.546572,0.087194,0.385152,0.128111,-0.049753,0.027585,10.235,0.2175,53107.439394,0.16122,0.000646,0.000509,-0.000269,1.0,149.867166,2.321014,0.000963
