,JLA_name,OSC_name,Aliases,Host,RA,DEC,Host_RA,Host_DEC,global_u,global_g,global_r,global_i,global_z,global_u_err,global_g_err,global_r_err,global_i_err,global_z_err,SDSS_RA,SDSS_DEC,Flag,Unnamed: 0,zcmb,zhel,dz,mb,dmb,x1,dx1,color,dcolor,3rdvar,d3rdvar,tmax,dtmax,cov_m_s,cov_m_c,cov_s_c,set,ra,dec,biascor,ZPEG_StMass,ZPEG_SFR(Msol/an),ZPEG_Chi2/(nobs_tot-3),ZPEG_Redshift,ZPEG_Age(Myr)
10,SDSS8213,SN2005ko,"SN2005ko, SDSS-II SN 8213",SDSS J35005.06-005517.4,"23:50:05.03,23:50:05.0,23:50:05.04,23:50:05.02,23:50:05.021","-00:55:17.1,-00:55:17,-00:55:17.004,-00:55:17.328,-00:55:16.9644,-00:55:17.0,-00:55:17.00","23:50:05.054,23:50:05.04,23:50:05,23:50:05.00","-00:55:17.245,-00:55:17.5008,-00:55:17,-00:55:17.0",22.38925824,21.5886945,20.34337494,19.70725541,19.2935288,0.4248451,0.107504,0.04518213,0.04026694,0.1084731,357.5210888,-0.92152777,OSC Host,10,0.18327,0.1847,0,21.108509,0.117564,-0.656771,0.327805,0.160219,0.037567,10.339,0.2245,53683.72866,0.291701,0.006098,0.001149,0.002449,2,-2.479074,-0.921379,-0.001064,2.66E+10,0,5.06E+00,0.183,11000
11,SDSS19992,SN2007pb,"SN2007pb, SDSS-II SN 19992",SDSS J34824.95-011106.5,"23:48:25.00,23:48:24.96","-01:11:06.0,-01:11:06.324,-01:11:06,-01:11:06.36","23:48:24.946,23:48:24.96,23:48:25,23:48:25.00","-01:11:06.610,-01:11:06.504,-01:11:06,-01:11:06.0",24.15856585,23.28762261,22.181147,21.56013638,20.67881427,1.157129,0.3288651,0.1771835,0.1462675,0.234412,357.1043052,-1.184866559,OSC Host,11,0.22452,0.226,0,21.145906,0.122907,0.273495,0.525565,-0.080933,0.045811,9.496,0.1795,54404.59432,0.455566,0.020739,0.001787,0.009501,2,-2.895839,-1.185004,-0.00073,8.00E+09,0,1.61E+00,0.225,10000
12,SDSS17218,SN2007jp,"SN2007jp, SDSS-II SN 17218",SDSS J34441.23-000148.3,"23:44:41.280,23:44:41.28,23:44:41.24","-00:01:48.27,-00:01:48.198,-00:01:48.6948,-00:01:48.3","23:44:41.28,23:44:41,23:44:41.00","-00:01:48.378,-00:01:48,-00:01:48.0",21.26032277,20.00697578,19.4349512,18.99186939,18.76103396,0.258471,0.03240559,0.03144668,0.02874419,0.07438051,356.1718211,-0.030090147,OSC Host,12,0.17757,0.179,0,20.428083,0.114576,-0.760469,0.402479,-0.084884,0.031246,10.015,0.264,54349.49774,0.543868,0.003841,0.000708,0.000631,2,-3.828185,-0.030055,-0.001101,2.64E+10,3.9674114,4.15E+00,0.178,11000
13,SDSS16116,SN2006oh,"SN2006oh, SDSS-II SN 16116",SDSS J34112.52-010621.4,"23:41:12.480,23:41:12.48","-01:06:21.46,-01:06:20.916,-01:06:21.132,-01:06:20.9,-01:06:20.92","23:41:12.48,23:41:12,23:41:12.00","-01:06:21.456,-01:06:20,-01:06:20.0",21.92203503,20.62984066,20.2272083,19.96004279,19.54636054,0.3014393,0.04491843,0.0391118,0.04557285,0.1170417,355.3022247,-1.105959598,OSC Host,13,0.1486,0.15,0,19.970319,0.112448,0.508881,0.286742,-0.097611,0.024792,9.512,0.0895,54053.28181,0.232875,0.003219,0.000562,0.002271,2,-4.69799,-1.105807,-0.001228,6.15E+09,1.2472202,4.99E+00,0.149,9000
14,sn1997dg,SN1997dg,SN1997dg,A234014+2612,"23:40:14.21,23:40:14.210","+26:12:11.8,+26:12:11.81","23:40:14,23:40:14.00","+26:12:11,+26:12:11.0",18.89704338,17.59089721,17.17150722,16.89671552,16.71627207,0.07169347,0.009904925,0.0122253,0.01356033,0.03907663,355.0590697,26.20293798,OSC Host,14,0.030482,0.0308,0,16.849731,0.1417,-0.334473,0.175879,-0.030644,0.026018,6,5,50720.33645,0.28657,-0.000458,0.000632,-0.000176,3,355.05921,26.20328,-0.010357,3.82E+09,0.66499021,2.58E+01,0.03,10000
15,SDSS4046,SN2005gw,"SN2005gw, SDSS-II SN 4046",SDSS J33759.58+003831.9,"23:37:59.60,23:37:59.6,23:37:59.52,23:37:59.599","+00:38:31.7,+00:38:32,+00:38:31.6,+00:38:31.24,+00:38:31.582,+00:38:31.25,+00:38:31.60","23:37:59.52,23:37:59,23:37:59.00","+00:38:31.902,+00:38:31,+00:38:31.0",24.26563439,23.52548041,23.00954286,21.95329518,22.29867808,0.9680893,0.3409747,0.3040739,0.186656,0.6751165,354.4983033,0.642186749,OSC Host,15,0.27544,0.277,0,21.521059,0.119548,0.79804,0.508894,0.00238,0.043726,9.604,0.6235,53645.76068,0.511839,0.014571,0.001067,0.00135,2,-5.501686,0.642106,-0.000298,5.85E+09,0,1.77E+00,0.275,7000
16,SDSS20111,SN2007pw,"SN2007pw, SDSS-II SN 20111",SDSS J33734.57+001450.7,"23:37:34.56,23:37:34.65","+00:14:50.8,+00:14:52.87,+00:14:53.156,+00:14:52.879,+00:14:53.2","23:37:34.578,23:37:34.56,23:37:34,23:37:34.00","+00:14:50.748,+00:14:50.7624,+00:14:53,+00:14:53.0",23.93268323,23.64840646,23.50688395,22.1215048,21.83024596,0.9678164,0.322129,0.4157081,0.1709773,0.4873031,354.3947225,0.246997271,OSC Host,16,0.24348,0.245,0,21.41238,0.118064,-0.029582,0.58162,0.009035,0.044236,10.6,0.0875,54410.05542,0.489712,0.013223,0.001192,0.006192,2,-5.605632,0.248099,-0.00056,4.77E+09,0,2.85E+00,0.243,10000
17,SDSS21502,SN2007ra,"SN2007ra, SDSS-II SN 21502",SDSS J33424.09-005324.7,"23:34:24.00,23:34:24,23:34:23.95","-00:53:25.2,-00:53:25.2024,-00:53:25.458","23:34:24,23:34:23,23:34:23.00","-00:53:24.7812,-00:53:25,-00:53:25.0",18.92737637,17.21215506,16.26879199,15.68970002,15.32604577,0.04848885,0.006316863,0.004513759,0.004189013,0.008663967,353.6004233,-0.890223746,OSC Host,17,0.08784,0.08916,0,18.825522,0.112907,-0.319465,0.240419,-0.051292,0.024085,11.214,0.1985,54427.27447,0.207135,0.002373,0.000557,0.001127,2,-6.400203,-0.890334,-0.001003,2.18E+11,0,4.68E+02,0.088,12000
18,SDSS16281,SN2006pd,"SN2006pd, SDSS-II SN 16281",SDSS J33146.12-004005.0,"23:31:46.08,23:31:46.12,23:31:46.121","-00:40:05.1,-00:40:04.98,-00:40:04.9872,-00:40:05.3148,-00:40:05.0,-00:40:05.02","23:31:46.08,23:31:46,23:31:46.00","-00:40:05.088,-00:40:05,-00:40:05.0",22.66410638,20.91648212,19.78101614,19.30793182,19.01558139,0.5454164,0.0502029,0.025382,0.02432265,0.06683366,352.9421986,-0.668093595,OSC Host,18,0.18255,0.184,0,20.47384,0.114391,-0.873266,0.510227,-0.07317,0.032312,10.141,0.0435,54055.40293,0.345403,0.008315,0.000855,0.006058,2,-7.057849,-0.668052,-0.001069,3.30E+10,0,8.47E-02,0.183,8000
19,sn2002dp,SN2002dp,"SN2002dp, AAVSO 2323+21",NGC 7678,"23:28:30.12,23:28:30.120","+22:25:38.8,+22:25:38.78","23:28:28,23:28:27.87","+22:25:14,+22:25:14.0",14.18158101,13.41967174,12.17286819,11.76238819,11.46643116,0.005496329,0.002089002,0.001722152,0.001689089,0.002111367,352.1161593,22.42124789,OSC Host,19,0.010888,0.011638,0,14.557203,0.169021,-0.316464,0.184325,0.054095,0.023005,10.47,0.3635,52451.21614,0.133147,0.001596,0.000487,0.00102,3,352.12543,22.42724,-0.00844,1.06E+11,0,2.61E+04,0.011,13000
20,SDSS16259,SN2006ol,"SN2006ol, SDSS-II SN 16259",SDSS J32807.80+005129.4,"23:28:07.20,23:28:07.2,23:28:07.19,23:28:07.190","+00:51:22.9,+00:51:22.86,+00:51:22.878,+00:51:22.666,+00:51:22.90","23:28:06.943,23:28:07.92,23:28:07,23:28:07.00","+00:51:16.598,+00:51:29.4588,+00:51:22,+00:51:22.0",20.75934906,27.94458199,19.5908942,19.23370478,26.41574333,0.7549358,0.9557523,0.1583775,0.1897955,0.6521896,352.0294128,0.854700875,OSC Host,20,0.11771,0.11908,0,20.03987,0.113079,-1.540003,0.22401,0.07502,0.027652,11.013,0.17,54052.30915,0.199371,0.001412,0.000697,0.001004,2,-7.970029,0.856355,-0.001214,14910695,0,3.44E+01,0.118,9000
21,SDSS12950,SN2006fy,"SN2006fy, SDSS-II SN 12950",SDSS J32640.14-005026.2,"23:26:40.080,23:26:40.32,23:26:40.08,23:26:40.19,23:26:40.190","-00:50:26.16,-00:50:25.08,-00:50:25.008,-00:50:25.152,-00:50:24.9936,-00:50:24.9,-00:50:24.90","23:26:40.08,23:26:40.144,23:26:40,23:26:40.00","-00:50:26.16,-00:50:26.161,-00:50:26.2248,-00:50:24,-00:50:24.0",19.11085372,18.14050778,17.81684844,17.5633804,17.51260131,0.03535231,0.008177638,0.008175664,0.008903709,0.02682861,351.6672668,-0.840613606,OSC Host,21,0.08133,0.08266,0,18.915623,0.111814,-0.3315,0.061082,-0.005329,0.020434,9.793,0.1055,54000.04617,0.068168,0.000156,0.000421,-4.00E-06,2,-8.33255,-0.840276,-0.000926,1.48E+10,2.9927737,2.10E+02,0.081,9000
22,SDSS13830,SN2006hm,"SN2006hm, SDSS-II SN 13830",SDSS J32614.66-002254.5,"23:26:14.81,23:26:14.88,23:26:14.810","-00:22:56.1,-00:22:56.208,-00:22:56.2116,-00:22:56.388,-00:22:56.10","23:26:14.64,23:26:14,23:26:14.00","-00:22:54.5952,-00:22:56,-00:22:56.0",20.8365761,19.88678627,18.77537619,18.36476778,18.12301761,0.1898154,0.03691946,0.02376713,0.02510473,0.08118582,351.5611066,-0.38184674,OSC Host,22,0.32837,0.33,0,21.644732,0.134054,1.180448,0.62133,-0.018399,0.05365,11.042,0.316,53990.92935,0.740286,0.036511,0.002369,0.011087,2,-8.438282,-0.382281,-8.30E-05,1.39E+11,28.222154,4.53E+01,0.328,9000
