,JLA_name,zcmb,mb,x1,color,3rdvar
92,SDSS10434,0.10289,19.156988,-0.005434,-0.08741,10.955
93,SDSS15132,0.15295,19.761456,1.067798,-0.133296,9.218
94,SDSS744,0.12649,19.808548,1.401317,0.071402,10.155
95,sn2006on,0.069751,18.412215,0.548467,0.07895,10.327
96,SDSS9467,0.21698,21.069215,-1.395764,-0.141924,11.817
97,SDSS2017,0.26014,21.301262,1.392157,-0.105855,10.403
98,SDSS19027,0.2935,21.355269,0.469262,-0.006881,9.254
99,SDSS20040,0.28351,21.246461,0.704019,-0.110345,10.045
100,SDSS5533,0.21829,21.161023,-0.079904,0.022297,9.44
101,SDSS16473,0.2096,20.739132,-1.073325,-0.148416,9.907
102,SDSS16793,0.22058,20.764062,0.524838,-0.051257,5.0
103,SDSS14261,0.27952,21.349608,0.694248,-0.030169,8.814
104,SDSS7243,0.20231,20.782139,0.722312,-0.020602,8.835
105,SDSS6780,0.20061,20.954698,-1.767055,-0.030617,11.17
106,SDSS5844,0.30929,21.575751,0.392813,-0.142283,9.326
107,sn2004ey,0.015678,14.68323,0.097384,-0.133126,9.95
108,SDSS15461,0.17865,20.359333,-0.162051,-0.100206,10.186
109,SDSS17171,0.15895,19.93795,-0.384727,-0.141622,10.628
110,SDSS13610,0.29678,21.38185,0.079305,-0.095522,10.509
111,SDSS19067,0.35346,21.770897,0.55207,-0.065751,5.0
112,SDSS20575,0.19465,20.622004,0.160993,0.034235,11.031
113,SDSS15287,0.27258,21.161073,1.423274,-0.072993,10.405
114,SDSS12843,0.16565,20.412042,-1.018684,0.037459,11.085
115,SDSS1253,0.26059,21.218177,-0.959241,-0.118798,11.028
116,SDSS12860,0.12044,20.209823,-0.303464,0.140894,10.629
117,SDSS16350,0.23472,21.130073,-1.345527,-0.090072,10.525
118,SDSS15301,0.2466,20.665733,-0.338697,-0.138562,10.28
119,SDSS19425,0.21025,21.64322,-1.60431,0.13062,10.39
120,SDSS17389,0.1707,20.780026,1.13039,0.058277,9.793
121,SDSS6936,0.17969,20.567027,0.027587,-0.021299,10.365
122,SDSS6699,0.30915,21.797035,-0.673205,-0.139232,10.734
123,SDSS20144,0.21865,20.772595,0.204476,-0.096868,9.762
124,SDSS17552,0.24862,21.302566,1.242872,0.000278,10.483
125,sn2006oa,0.060959,17.836262,0.908837,-0.041039,8.985
126,SDSS15467,0.2091,20.592027,0.80126,-0.067945,10.402
127,SDSS15453,0.17373,20.54928,1.150037,-0.024265,8.651
128,SDSS19775,0.13668,20.268803,-0.228704,0.093699,10.567
129,SDSS15129,0.19699,20.684448,-0.774077,-0.070545,10.796
130,SDSS14024,0.14478,20.466614,-1.922932,0.03787,8.378
131,SDSS1794,0.14139,20.083504,1.153668,0.030808,9.7
132,SDSS13727,0.21971,20.855502,1.253108,-0.040277,9.62
133,SDSS12853,0.16817,20.17402,-0.580103,-0.061756,10.467
134,SDSS14019,0.21513,21.433042,-0.316436,-0.021846,9.67
135,SDSS17801,0.20515,21.18231,-0.677573,-0.017143,11.251
136,SDSS2916,0.12303,19.970954,-0.872609,0.056872,10.428
137,SDSS17366,0.13811,19.554935,0.567102,-0.095614,10.756
138,SDSS19940,0.14582,19.800673,1.044495,-0.004648,5.0
139,SDSS13411,0.1618,20.328307,1.786215,0.019766,8.508
140,SDSS21042,0.31065,21.379309,1.245043,-0.095517,9.113
141,SDSS14298,0.2607,21.261083,1.298349,-0.080943,5.0
142,SDSS14984,0.1828,20.867304,1.015744,0.072977,10.083
143,SDSS15648,0.17383,21.032398,-1.45375,0.113585,11.175
144,SDSS16737,0.1988,20.519882,-0.44361,-0.075727,10.07
145,SDSS12883,0.30569,21.588074,-1.955498,-0.057713,10.972
146,SDSS5994,0.18581,20.479366,0.746501,-0.061663,11.56
147,SDSS18241,0.09391,19.176568,-1.123374,-0.085483,10.016
148,SDSS2102,0.09401,18.639465,1.271886,-0.11082,8.774
149,sn2002ha,0.013652,14.685508,-1.295292,-0.092539,11.114
150,SDSS6315,0.26576,20.925675,-0.091383,-0.194032,9.785
151,SDSS7779,0.37986,21.922589,1.316854,-0.10254,11.183
152,SDSS12930,0.14607,20.061964,1.887311,0.021652,10.785
